(BBG)",,,"Date
(HC)",,,,"Bloomberg
Ticker",Ticker,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2025,FY2026,FY2024,FY2025,FY2026,FY2025,,2024Y,2025Y,2026Y,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,2024Y,2025Y,2026Y,2024Y,2025Y,2026Y,Gold,Silver,Copper,Zinc,Lead,Gold,Silver,Copper,Zinc,Lead,Gold,Silver,Copper,Zinc,Lead,Reserves,M&I,"M,I&I",Reserves,M&I,"M,I&I",2021Y,2022Y,2023Y,2024Y,2024Y,2025Y,2026Y,,,,,
SNL_EARNINGS_RELEASE_DATE,EXPECTED_REPORT_DT,EXPECTED_REPORT_TYP,SALES_RESULT_DATE,,,,,,,,,SP_PNAVPS_FWD,SP_PCFPS_FWD,,,SP_FCF_EST,SP_FCF_FWD,SP_FCF_FWD,,,SP_TEV_EBITDA_FWD,,,IQ_NET_DEBT,SP_DEBT_TO_EQUITY,SNL_ATTRIBUTABLE_PRODUCTION_PROJECTION_HIGH_OZ,,,,,,,,,,,,,,,,,,SNL_ATTRIBUTABLE_RESV_OZ,,,SNL_ATTRIBUTABLE_RESV_TONNES,,SNL_ATTRIBUTABLE_M_AND_I_RESRC_OZ,,,SNL_ATTRIBUTABLE_M_AND_I_RESRC_TONNES,,SNL_ATTRIBUTABLE_TOTAL_RESRC_OZ,,,SNL_ATTRIBUTABLE_TOTAL_RESRC_TONNES,,,,,,,,SNL_ALL_IN_SUSTAINING_COST_OZ,,,,SNL_PROJ_ALL_IN_SUSTAINING_COST_HIGH_OZ,,,,-,,,
,,,,,,,,,,,,,,,,,,,,,,,,FQ0,FH0,SNL_ATTRIBUTABLE_PRODUCTION_PROJECTION_LOW_OZ,,,SP_GOLD_PRODUCTION_EST,,,SP_SILVER_PRODUCTION_EST,,,SP_COPPER_PRODUCTION_EST,,,,,,,,,MRQ,,,,,,,,,,,,,,,,,,,,,,,,,SNL_PROJ_ALL_IN_SUSTAINING_COST_LOW_OZ,,,,,,,
2026-01-29 00:00:00,,,,01/05/2025,Confirmed,,16158.077487798215,15271.92261050827,Endeavour Mining,EDV CT EQUITY,TSX:EDV,0.9498345399999999,5.7201492537,8.6987734961,5.5095166124,0.011579805561193013,0.07148026534687318,0.1419644132668687,19.5114760047,8.8703524219,4.8393668021754,6.9072848348161,4.5702073318174,0.23635757729172518,,,,,1098.66667,1198.36364,1185.76,0,0,0,0,0,0,1098.66667,1198.36364,1185.76,14706.987960049988,13483.451056474156,13626.768897414498,16406.75,0,0,0,0,7604.6,0,0,0,0,14085.84,0,0,0,0,16406.75,24011.35,30492.59,984.8432802229701,672.9349864875659,529.9017724567908,885,933,1021,1218,995,1250,1700,,N,,YES,
2026-01-14 00:00:00,,,,08/05/2025,Estimated,,13292.249670604591,12304.88563582651,Equinox Gold,EQX CN EQUITY,TSX:EQX,0.8888631649772551,7.430174676768,11.3009956631005,7.7752332163909,-0.008234534070352137,0.014411023819977921,0.06537657267271023,28.9666251529331,11.1206238088551,9.8311024951909,10.5304908901213,6.6996663232168,0.7745564695035174,,632.5,850,750,621.125,760.93175,772.77778,0,0,0,0,0,0,621.125,760.93175,772.77778,21400.28121650971,17468.386186546417,17200.61059546069,23164.942,47861,0,0,0,21774.99,89051.868,2.415,0,0,37055.681,139925.695,103.479,0.504,0.182,23643.552,46316.70818,62426.81091666667,562.1934331442498,286.9860616809619,212.92533569187717,1347,1622,1612,1870,1870,1850,1825,,N,High,YES,
2026-01-21 00:00:00,,,,13/08/2025,Confirmed,16/07/2025,21811.506359062638,21442.948259003097,Evolution Mining,EVN AU EQUITY,ASX:EVN,1.3826356100000001,6.5404593853,7.9420962163,11.5877731154,0.000550500392288842,0.022830031649459376,0.04887651665474713,17.4092652699,16.5939155642,6.6466347685344,7.762116686956,8.6633090310675,0.2463680152810673,0.264,770,745,745,720.28889,748.92617,741.25292,768,889,815,66.34,76.0261,71.388,938.0455566666667,998.5654866666666,975.46492,23252.075769720137,21842.84020457397,22360.113533414034,11114.2,0,1307.6,0,0,10587.753,0,2112.454,0,0,18720.88,0,2614,0,0,15254.933333333334,32532.124000000003,42253.48,1429.800175619426,670.4605687308531,516.2061529384713,907.7866023072667,913.5746563438778,976.0226872833501,968.4458265388948,924.5149732023302,987.8804934521368,1125.7945740515502,,N,,YES,
2026-01-28 00:00:00,,,,05/08/2025,Confirmed,23/07/2025,38455.692946294985,39051.82639722227,Fresnillo PLC,FRES LN EQUITY,LSE:FRES,1.902962702922078,6.1108275141394,,,0.016872450299709085,0.04062614085862188,0.046387075000641986,,,5.2112380675471,14.8785199481559,7.954841388167,NM,,605,570,540,586.71667,599.95217,539.26525,56478,49188.33333,45746.5,0,0,0,1151.49667,1091.8355033,996.7302500000001,33396.26934943284,35221.141673874154,38581.84593704765,7106.4,331330.76,0,1074.92,576.52,15456.59,773768,0,1769.2,951.28,31842.51,1982438.05,0,4042.4,2146.2,11917.408933333332,37578.48426666667,69200.57943333333,3226.8501619285144,1023.3433757839571,555.7134529970598,1095.59,,1760.81,1578.45,,,,,N,,YES,
2025-11-12 00:00:00,,,,13/08/2025,Estimated,07/05/2025,11985.505926076925,12636.440380866876,Harmony,HAR SJ EQUITY,JSE:HAR,1.27354207,5.3450197588,4.8036893536,4.3170631393,0.02414870483249108,0.06223793306781856,0.087696164604183,9.4060192637,6.0173109338,5.3179070881648,4.8925637149216,3.7229096950842,NM,0.049,1550,1450,1450,1513.45,1522.58975,1474.73333,0,2836,2379,0,0,25.65,1513.45,1550.94975,1579.74833,7919.327315786398,7727.849291104967,7586.971733704523,29771.02,21386,2875,0,0,51413.278,27404.376,3366.612,0,0,87453.228,34429.983,4527.651,173.6,52.8,39089.04666666667,101437.30642666668,141436.4559966667,306.62057400078805,118.15678420780775,84.74127721610469,1460,1709,1558,1500,,1815.74705449131,2155.1464115750864,,N,,YES,
2026-01-26 00:00:00,,,,01/05/2025,Tentative,,14747.541618,14761.10261802,Hecla,HL US EQUITY,NYSE:HL,2.31925211,14.6279069767,28.1430563857,16.8172479894,0.0033534080265502377,0.02015567587998438,0.04608734303963892,53.6053130929,22.5681811193,13.3510019491258,23.8915619097526,14.1074175468133,NM,0.106418855044246,132,147.5,140,136.16667,152.25,66.2,16577,16903.25,15955.14286,0,0,0,301.93667000000005,321.2825,225.7514286,48843.16177296384,45902.10054391384,65326.459767971544,2173,239824.8,0,837.767,694.087,4329.541,180310.816,46.439,776.504,540.655,10508.463,675674.431,1337.37,1203.588,1042.892,5918.012133333333,13370.702459999999,29386.599909999994,2491.9755630330915,1102.974332285007,501.84579581054373,1374,1773,2048,1990,1862.5,,2250,,N,,YES,
2026-01-19 00:00:00,,,,06/05/2025,Confirmed,,12937.13780225467,12561.101117835518,IAMGOLD,IAG US EQUITY,TSX:IMG,1.1040225401143826,5.2274652657701,11.7508974468616,5.8822825696608,-0.006690496255990769,0.0541353814144898,0.13792447921146384,19.4805828705382,9.8159928961341,5.1475392359434,8.7327780701613,5.160939246152,0.21105925470466227,0.179,517.5,777.5,770,667.77778,729.27273,772.5,0,0,0,0,0,0,667.77778,729.27273,772.5,19373.417609454853,17739.780016530538,16747.10395113873,7585.1,0,0,0,0,18736.41,2199.5,1.625,40.75,64,31573.91,4426,5.625,69.25,128,7585.1,26436.334166666667,39384.199166666665,1705.5988454014675,489.36958205676603,328.48548595610873,1426,1581,1783,1716,1860,1880,2075,,Y,,YES,
2026-01-12 00:00:00,,,,08/05/2025,Confirmed,,18482.325915003894,18985.932655316235,Lundin Gold,LUG CT EQUITY,TSX:LUG,1.68082062,9.861504259,20.7921942153,14.507436074,0.029503271171131225,0.04315993031252282,0.06206997725719701,23.9789413989,16.8540383782,7.7926812945199,14.4982463314679,10.7754401041062,NM,,475,507.5,500,491.53846,504.74615,500.21507,655.3,661.7,657.7,0,0,0,498.09146,511.36315,506.79207,37106.28950555365,36143.24949892047,36469.24845332306,5538,7996,0,0,0,1520,2868,0,0,0,3882,8332,0,0,0,5617.96,7166.64,9583.28,3289.8642772472385,2578.9387934937286,1928.6012633465675,762,805,860,875,855,965,1140,,N,,YES,
2026-01-15 00:00:00,,,,29/04/2025,Confirmed,,9166.268987812862,8888.065863751171,New Gold,NGD CN EQUITY,TSX:NGD,1.756835110506531,5.2508850178653,9.3916163537425,5.59557403901,0.01417631258943239,0.06339962019162819,0.1926178345484782,15.4782407806407,7.9057580081765,6.0871384122259,8.9771478733459,4.8552339414112,0.2993153984993262,,305,345,462.5,303.28571,357,455.33333,0,0,0,23.94,24.75,0,379.09571,435.375,455.33333,24179.30022951951,21053.732960810477,20130.898363651224,2954,7788,286.217,0,0,2646,9004,498.951,0,0,3045,9914,499.405,0,0,3938.2338333333337,8254.285333333333,8663.823,2327.5075517937194,1110.486083004262,1057.9935656364241,1463,1844,1434,1239,1290,1075,725,,Y,,YES,
2026-02-18 00:00:00,,,,07/05/2025,Confirmed,,8407.818226371954,8586.088261758126,OceanaGold,OGC CT EQUITY,TSX:OGC,1.2009832667807567,3.9152584425103,8.9767905869818,5.2178894882765,0.020741562929558532,0.051828025339781425,0.11373048706583497,16.2465520077181,7.5101450219404,4.06095495181,7.8991870737651,4.2102643381915,NM,0.0211285425101215,,,,484.9,485.15455,565.16,0,0,0,12.53925,13.9158,12.235,524.607625,529.2212499999999,603.9041666666666,16026.870037148154,15887.151595617059,13922.437847680503,4252,5100,128,0,0,2493.6,5660,14.05,0,0,5412.8,10040,36.338,0,0,4708.333333333333,7303.025,10336.603666666666,1785.7313047161672,1151.2788503903455,813.4023996184904,1247,1407,1587,1777,1775,1975,1825,,N,,YES,
