(BBG)",,,"Date
(HC)",,,,"Bloomberg
Ticker",Ticker,,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2025,,2024Y,2025Y,2026Y,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,FY2024,FY2025,FY2026,2024Y,2025Y,2026Y,2024Y,2025Y,2026Y,Gold,Silver,Copper,Zinc,Lead,Nickel,Gold,Silver,Copper,Zinc,Lead,Nickel,Gold,Silver,Copper,Zinc,Lead,Nickel,Reserves,M&I,"M,I&I",Reserves,M&I,"M,I&I",FY2024,FY2025,FY2026,2021Y,2022Y,2023Y,2024Y,2025Y,2026Y,,,
SNL_EARNINGS_RELEASE_DATE,EXPECTED_REPORT_DT,EXPECTED_REPORT_TYP,SALES_RESULT_DATE,,,,,2026-02-20,,,,SP_PNAVPS_FWD,SP_PCFPS_FWD,,,SP_FCF_EST,SP_FCF_FWD,,SP_PE_FWD,,,IQ_NET_DEBT,SP_DEBT_TO_EQUITY,SNL_CONS_PRODUCTION_PROJECTION_HIGH_TONNE,,,,,,,,,,,,,,,,,,SNL_ATTRIBUTABLE_RESV_OZ,,,SNL_ATTRIBUTABLE_RESV_TONNES,,,SNL_ATTRIBUTABLE_M_AND_I_RESRC_OZ,,,SNL_ATTRIBUTABLE_M_AND_I_RESRC_TONNES,,,SNL_ATTRIBUTABLE_TOTAL_RESRC_OZ,,,SNL_ATTRIBUTABLE_TOTAL_RESRC_TONNES,,,,,,,,,SP_TEV_EBITDA_FWD,,,SNL_CASH_COST_LB,,,SNL_PROJ_CASH_COST_HIGH_LB,,,,,
,,,,,,,,,,,,,,,,,,,,,,FQ0,FH0,SNL_CONS_PRODUCTION_PROJECTION_LOW_TONNE,,,SP_GOLD_PRODUCTION_EST,,,SP_SILVER_PRODUCTION_EST,,,SP_COPPER_PRODUCTION_EST,,,,,,,,,MRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNL_PROJ_CASH_COST_LOW_LB,,,,,
,,,,10/09/2025,Estimated,,,,Central Asia Metals,CAML LN Equity,AIM:CAML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,N,YES
,,,,05/05/2025,Confirmed,,,,Ero Copper,ERO CN Equity,TSX:ERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Y,YES
,,,,28/08/2025,Confirmed,29/04/2025,,,Sandfire,SFR AU Equity,ASX:SFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Y,YES
,,,,01/05/2025,Estimated,,,,Taseko,TKO CN Equity,TSX:TKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Y,YES
,,,,29/04/2025,Confirmed,,,,Metals Acquisition Corp,MTAL US Equity,NYSE:MTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Y,YES
,,,,27/08/2025,Estimated,29/04/2025,,,29 Metals,29M AU Equity,ASX:29M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,N,NO
,,,,28/08/2025,Estimated,30/04/2026,,,Aeris Resources,AIS AU Equity,ASX:AIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,N,NO
,,,,29/04/2025,Estimated,,,,AIC Mines,A1M AU Equity,ASX:A1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,N,NO
,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
